miRNA_ID	TCGA-RQ-A6JB-01A	TCGA-FF-8046-01A	TCGA-FF-A7CW-01A	TCGA-RQ-A68N-01A	TCGA-FM-8000-01A	TCGA-FF-A7CX-01A	TCGA-GS-A9TT-01A	TCGA-FF-8062-01A	TCGA-G8-6326-01A	TCGA-GS-A9U3-01A	TCGA-GS-A9TV-01A	TCGA-FF-A7CR-01A	TCGA-GS-A9U4-01A	TCGA-GS-A9TZ-01A	TCGA-GR-7353-01A	TCGA-GS-A9TQ-01A	TCGA-FF-8042-01A	TCGA-FF-8041-01A	TCGA-GR-A4D5-01A	TCGA-G8-6907-01A	TCGA-GS-A9TX-01A	TCGA-FF-A7CQ-01A	TCGA-VB-A8QN-01A	TCGA-G8-6324-01A	TCGA-G8-6914-01A	TCGA-FA-A82F-01A	TCGA-G8-6325-01A	TCGA-FA-8693-01A	TCGA-GS-A9TY-01A	TCGA-G8-6906-01A	TCGA-FA-A86F-01A	TCGA-FA-A4BB-01A	TCGA-FA-A6HO-01A	TCGA-RQ-AAAT-01A	TCGA-FA-A7Q1-01A	TCGA-GR-A4D6-01A	TCGA-G8-6909-01A	TCGA-FF-8043-01A	TCGA-FA-A4XK-01A	TCGA-GS-A9TW-01A	TCGA-GR-A4D9-01B	TCGA-GR-A4D4-01A	TCGA-GS-A9TU-01A	TCGA-FA-A6HN-01A	TCGA-FA-A7DS-01A	TCGA-FF-8061-01A	TCGA-FF-8047-01A
hsa-let-7a-1	13.271848908889261	13.987085477109021	13.6259546013248	13.037988907225886	13.869320463449652	13.129719543746242	13.686752917646054	13.40057081219177	12.07314230614396	12.636014770634588	12.884518763313315	12.973558003196601	11.769139318432979	12.029994824068329	12.888693080893066	13.419877945309459	12.84745737846958	12.646646788138101	14.250310766487976	14.085953195706246	13.895549448630984	13.193577938600841	12.324539859818376	13.75109726962377	13.38558894075129	13.202507284193915	12.494896475268025	12.72178632543165	12.72619003949252	12.95857650157879	12.885805729024568	13.570730702717748	14.466824837551924	13.604224527730393	13.593104004563257	14.774131349460891	12.458332988538238	13.0542435551793	12.998156375909911	12.67955927094141	13.835279248121319	13.556067999346942	13.563821088454532	13.638818650759168	12.59659123432003	13.000656972622867	13.949903237392292
hsa-let-7a-2	13.287066203668555	13.95116923062192	13.624714407288838	13.020508129297722	13.854820424635275	13.124193263480544	13.68013882187631	13.403150949137459	12.052761671734029	12.630668225866456	12.877875308155678	12.971623896104576	11.727626103265116	12.04294587329843	12.887046936600068	13.402935141943333	12.844737106993877	12.645229087279658	14.254442962803633	14.0934673200846	13.899054939213293	13.192738345461327	12.317433258515354	13.758600925749647	13.380421309390986	13.204728823728342	12.51959524158997	12.72644362285509	12.732585907036585	12.955186006859973	12.872670429261	13.561984646000123	14.46708581976961	13.609987380338875	13.599547499761156	14.764747216615786	12.437385046981465	13.049023260307994	12.993925079546935	12.665518133207705	13.819588587057977	13.548715369369454	13.55464686958563	13.636065558189188	12.566596451384521	13.010507912035667	13.955669088398285
hsa-let-7a-3	13.29748048486198	13.970418306699301	13.620386769188142	13.019814563961285	13.856983132207207	13.134640074984466	13.697561961737687	13.408750641242143	12.080427281773597	12.644751603427052	12.87514447704923	12.980908090824276	11.734394029189657	12.016926459901901	12.902413320147788	13.416376489845398	12.862238208890417	12.657898348237449	14.263050107590095	14.089387574781258	13.904518128747759	13.196033940109475	12.325944228246792	13.757993108279168	13.392039676578499	13.198455494353977	12.506819574075918	12.74963612131016	12.75405823916884	12.957305999767144	12.882731411153957	13.570533636070156	14.474036643161003	13.62863723108731	13.608695282265439	14.764914332120021	12.450186361332568	13.064277028439502	12.992935988775898	12.649603941436165	13.839768796821902	13.541165727500816	13.574031131244498	13.632693516966883	12.58388424313407	13.011950923064518	13.968066876206224
hsa-let-7b	13.019982326429698	13.974472591953461	12.89011906755047	11.807227495140697	13.099819504261301	12.1408687373887	12.645709322083418	13.612134403827634	12.516589520985796	12.238509985045619	12.066879303464939	12.423616748094023	11.987760099798718	11.870773580912406	12.699337523848449	12.448416837465082	12.232632596264123	12.534898073471377	13.182650971998353	13.80761707565746	12.728659271639856	11.835089662852031	13.742806798414433	14.682974505158427	12.793696206908411	13.005569671883155	12.52138854599522	13.513715354578807	12.319060468098371	12.698425775848426	12.585583016354697	12.999140302538416	12.676519532448046	13.70269450604797	12.319567502008118	13.402908323078712	13.254408507459495	12.551979466159677	12.27136566254656	11.193241602778107	12.53931761395663	13.239345453689314	13.280542427305202	13.190574059617086	12.231729925160172	12.967722706957876	13.09274626848068
hsa-let-7c	9.604021250025738	10.411484945118957	8.64631839096589	8.866682196378004	9.959992048993804	8.214328160689854	7.171724772540854	10.210534254459407	8.001718409440123	7.311801499641335	7.426707904359188	7.25479747453929	7.346879603872385	6.064422712281543	8.131488241906576	6.766756501876329	6.962517131051742	6.504531269865765	9.323306636736449	8.429104645743827	7.4123257259619	7.153013318236769	8.757062491253674	8.29647847405246	9.444839252779923	10.556294280044735	6.870298785680334	9.153595286578238	6.455262572965548	5.085708348751254	7.889872808131767	8.751602508811796	9.146545378605149	11.156970088818957	9.124276359603046	9.596616419500313	7.189080479871205	8.275124657562126	7.989725783498952	6.2726695127752645	9.533859764028119	9.0015324494213	8.319550577236576	9.076938624303802	7.976206496924805	8.552956316996442	8.405844569435581
hsa-let-7d	9.733971855472733	9.373459789182837	9.837021127872717	8.83949822218775	11.029980300972095	10.188543096590653	9.411011398551526	9.529654925558477	8.603230020425931	9.239045822263803	8.509127724331652	8.968698932396803	8.556157014367754	7.892577155569294	9.192798270919429	10.379412629588526	9.692667652216361	8.384071415966373	9.299323385867801	11.311631554139694	9.41317213462977	8.727231569963246	8.835168450519996	9.567388935383981	9.444839252779923	8.329823492467616	9.336481485931918	9.368257386319053	8.629173524631828	9.545180307162866	8.830042714724952	9.077583761201863	9.331290140607214	8.954634421755701	10.087510388406873	10.207431558767698	9.684404011803819	10.363733141333322	9.06641055266588	7.762672707909535	9.18942631514715	10.195431276096114	9.386120882989102	9.541211211133467	8.870664303559645	9.835504717436908	10.51947860129646
hsa-let-7e	9.642842490137008	10.02935061442049	8.778949735522325	9.448741487868682	10.244446048554872	8.580634282677902	9.364793107051925	9.703740330357922	8.507441965171095	8.87859342656115	8.696131887362434	8.78329405061107	8.383206282364629	8.094482924423865	9.508485377111274	8.340448152035275	9.199202342272486	9.337255736542517	11.642037251911692	9.111933984938815	9.433920042919041	7.61505947863602	8.256076940744006	9.250455608616	9.344243996594784	10.104187079918422	8.998241980342069	9.82348548682982	9.046087753253891	9.072695371945477	9.151547345393123	11.228043571127701	10.484996391818726	10.3169317023573	8.870628942862552	11.116578240437821	8.791022898007924	8.861767182616827	10.550106414657737	9.340209516429494	10.241855654374875	10.379594771342829	9.36673905135644	10.020372078009006	7.097800864654764	8.546598171652768	8.458326057951066
hsa-let-7f-1	12.854673042409555	13.095380053223115	13.125413404612726	12.996032731039534	13.45379124737054	12.765996291223038	13.28746936869933	12.140174096123054	11.85499514867509	12.24139293156348	12.434620611771269	12.93819956904527	11.16697895335316	11.18817939414909	11.136375427209668	12.814424140863874	12.244238888810948	11.355138075035649	14.38940160512331	13.219796999184735	13.449399182623585	13.167381674040099	11.301064609144085	12.68313903901484	12.87305684861537	12.69957015217383	11.364846358035114	11.66826063766923	12.546753916125729	12.490538684461683	12.434389793458212	13.49871330750577	14.67276077686444	12.891622793314676	13.45077271557599	14.969594557088286	11.247787263855338	12.649383374987393	13.02072405028942	11.9997996134948	14.123847866847091	13.21007586556012	12.797923637096709	13.268785146438786	12.198415772556563	12.268607000229906	13.086779416776537
hsa-let-7f-2	12.88433824269446	13.132724266191723	13.151067672294312	13.031622621442812	13.478630334927646	12.773301571054873	13.30693887515293	12.139628121109046	11.872074688945627	12.25403918054582	12.486854158760707	12.970171612288825	11.214345117615434	11.188891179171108	11.183197982578713	12.84270402495413	12.295695981501911	11.392120848628563	14.407334014018115	13.221064055694715	13.464314182131687	13.17055289360686	11.329474894731769	12.662091552666787	12.911205730707435	12.722662647220918	11.362376624193754	11.723116209273686	12.554484328040932	12.501362989382457	12.464083224030523	13.529606430206227	14.687103648479338	12.904150647261497	13.477002201887396	15.012608882510023	11.267208180474887	12.688772929979713	13.051248612613275	12.001220058211729	14.15013452793873	13.225132099056466	12.831394568551024	13.312691523917934	12.218989603382704	12.28435959040524	13.113349086828839
hsa-let-7g	10.36606536106258	10.600713620554238	11.079391112277026	10.457799623636712	11.057322632163084	10.602031358861668	9.799804004369506	10.336570120674889	9.977051580333908	10.794703506678335	10.572342475229643	10.035107385783661	9.943546693667388	9.130886775653174	9.48826051412738	11.562831019606321	9.795919111985244	8.482438034961168	11.84689989929201	11.367878062082223	11.173071002128214	10.279516857381365	9.618322899682736	11.12650937127921	10.352171962320945	9.438095482321852	9.557801438423844	9.305812630962023	9.649518454678038	10.40037484122151	10.29443692910361	10.981477617974507	12.356293115360112	10.092144569668958	10.47020486407526	12.351647572744028	10.219784868594484	9.985549955210548	9.852810362071587	9.376417808795765	10.859569763936847	10.464727321426741	10.318816310621955	11.078993803302556	9.350845286218634	9.558005386926714	10.563370983163312
